,0
0,1.0863733291625977
1,1.0978796482086182
2,1.0328317880630493
3,0.9869976043701172
4,0.9814540147781372
5,0.8975245952606201
6,0.9945970773696899
7,0.843528151512146
8,0.8353518843650818
9,0.7758928537368774
10,0.8351920247077942
11,0.7524082064628601
12,1.001113772392273
13,0.8261255025863647
14,0.7610321044921875
15,0.8027389049530029
16,0.7122806310653687
17,0.7041684985160828
18,0.6984425783157349
19,0.6985002756118774
20,0.7057464718818665
21,0.6986957788467407
22,0.6983656287193298
23,0.6969127655029297
24,0.7017189860343933
25,0.6996118426322937
26,0.7006897926330566
27,0.6981640458106995
28,0.6966304779052734
29,0.6973552703857422
30,0.696236789226532
31,0.6961113214492798
32,0.6963416337966919
33,0.9974055886268616
34,0.8606429100036621
35,0.9015374183654785
36,0.8341172933578491
37,0.7331346869468689
38,0.7041822075843811
39,0.6982146501541138
40,0.7005350589752197
41,0.697083592414856
42,0.6979999542236328
43,0.6963337063789368
44,0.6965014934539795
45,0.6949958801269531
46,0.6975623965263367
47,0.697291910648346
48,0.6963530778884888
49,0.7068300247192383
50,0.7003971338272095
51,0.6978476047515869
52,0.6952153444290161
53,0.6950303316116333
54,0.6954236626625061
55,0.6949986815452576
56,0.6943971514701843
57,0.6947844624519348
58,0.6950684189796448
59,0.6954920291900635
60,0.69521564245224
61,0.6947075128555298
62,0.6979207396507263
63,0.698934018611908
64,0.6966977119445801
65,0.695469081401825
66,0.698874831199646
67,0.6999499201774597
68,0.6954476237297058
69,0.6972692608833313
70,0.6949285268783569
71,0.6949524879455566
72,0.6950095891952515
73,0.6956881284713745
74,0.6948888897895813
75,0.6976979374885559
76,0.694750189781189
77,0.6946907043457031
78,0.6947821378707886
79,0.6952176690101624
80,0.6953760981559753
81,0.69451904296875
82,0.7107932567596436
83,0.7767269015312195
84,0.7083432078361511
85,1.1042550802230835
86,0.7322747707366943
87,0.7186552286148071
88,0.6998445987701416
89,0.6982886791229248
90,0.697008490562439
91,0.6947017312049866
92,0.6945999264717102
93,0.694609522819519
94,0.6949731707572937
95,0.6943991780281067
96,1.1149051189422607
97,0.9423300623893738
98,0.8163353204727173
99,0.7829476594924927
100,0.7614027857780457
101,0.72552090883255
102,0.7321451306343079
103,0.7027263045310974
104,0.7043629884719849
105,0.7041426301002502
106,0.6942988634109497
107,0.6949437260627747
108,0.6955687999725342
109,0.6942124962806702
110,0.6943864822387695
111,0.6954895853996277
112,0.6962824463844299
113,0.6961020231246948
114,0.6950938105583191
115,0.6940925121307373
116,0.694138765335083
117,0.6949079632759094
118,0.6941584944725037
119,0.6940613389015198
120,0.6942588686943054
121,0.6949399709701538
122,0.6940906047821045
